Crop,LandType,Scale of Finance (2024-25)
Paddy,Irr,43000-45000
Paddy,SRI,36000-38000
Paddy,Seed Production,48000-50000
Jowar,Irr,18000-20000
Jowar,UI,17000-19000
Jowar,Seed Production,24000-26000
Bajra,Irr,15000-17000
Bajra,UI,15000-17000
Raagi,Irr,15000-17000
Raagi,UI,15000-17000
Maize,Irr,32000-34000
Maize,UI,26000-28000
Wheat,Irr,19000-21000
Minor Millets,,18000-20000
Red gram,Irr,22000-24000
Red gram,UI,19000-21000
Red gram,Organic,21000-23000
Black gram,Irr,19000-21000
Black gram,UI,15000-17000
Black gram,Organic,19000-21000
Green gram,Irr,20000-22000
Green gram,UI,16000-18000
Green gram,Organic,20000-22000
Bengal gram,,24000-26000
Cow Pea,,11000-13000
Sunflower,,27000-29000
Soyabean,,28000-30000
Soyabean,Seed Production,34000-36000
Groundnut,Irr,28000-30000
Groundnut,UI,24000-26000
Seasamun/Gingelly,,19000-21000
Safflower/Kusumalu,,18000-20000
Mustard,,14000-15000
Castor,Irr,19000-21000
Castor,UI,17000-19000
Cotton,UI,44000-46000
Cotton,Seed Production,140000-150000
Sugarcane,Pltn,78000-80000
Sugarcane,Ratoon,64000-66000
Oil palm (from 5th year onwards),,42000-44000
Chillies,,82000-84000
Tobacco,,33000-35000
Tomato,Irr,53000-55000
Tomato,UI,38000-40000
Tomato,with mulching,68000-70000
Brinjal,with mulching,53000-55000
Brinjal,without mulching,38000-40000
Colocasia,,43000-45000
Drumstick,,33000-35000
Ginger,,65000-67000
Garlic,,38000-40000
Sweet Potato,,28000-30000
Gourds,,30000-32000
Carrot,,32000-34000
Onion,,43000-45000
Potato,,48000-50000
Bhendi,,28000-30000
Gherkin,,33000-35000
Cabbage,,32000-34000
Cauliflower,,33000-35000
Curry leaf,,23000-25000
Coriander,,23000-25000
Coccinea,,43000-45000
Turmeric,,85000-87000
Vegetables (other than mentioned in the list),,35000-37000
Vegetables Shade net (excluding structure),,65000-67000
Capsicum,,48000-50000
Banana,Ratoon,45000-47000
Banana,Tissue culture,95000-97000
Citrus,,43000-45000
Acid Lime,,48000-50000
Cashewnut,,38000-40000
Dates (working capital),,58000-60000
Pomegranate,,75000-77000
Guava,,45000-47000
Custard apple,,38000-40000
Sweet Orange,,48000-50000
Grapes,,98000-100000
Grapes (Seedless),,130000-132000
Sapota,,34000-36000
Ber,,33000-35000
Watermelon,,33000-35000
Muskmelon,,1000-53000
Papaya,,65000-67000
Mango,,42000-44000
Mango (High Density),,60000-65000
Mango (Ultra High Density),,90000-95000
Fodder Cultivation,,18000-20000
Coconut,,48000-50000
Cocoa,,33000-35000
Fig,,32000-34000
Dragon Fruit (working capital),,78000-80000
Mulberry,,58000-60000
Honey Bee Rearing (45 days working capital cycle),,33000-35000
Silkworm Rearing (45 days working capital cycle),,38000-40000
Lac Farming (40 trees per year),,23000-25000
Jasmine,,38000-40000
Rose,,50000-52000
Marigold,,36000-38000
Flower gardens/Floriculture (Crops other than mentioned in the list),,40000-42000
Chrysanthemum,,40000-42000
Geranium,,33000-35000
Medicinal & Aromatic plants,,43000-45000
Amla,,42000-44000
Lemon grass,,33000-35000
Tasar Culture,,13000-15000
Roof Garden — 1 cycle,,30000-32000
Roof garden — 2 cycle,,20000-22000
Roof garden — 3 cycle,,10000-12000
Ashwagandha (Withania somnifera),,17000
"Nilavemu, Kalamegha (Andrographis paniculata)",,17000
Makandi (Coleus barbatus),,28000
"Vasa (Myrtle grass, Acorus calamus)",,39000
Challan gadda (Asparagus racemosus),,38000
Kalabanda (Aloe vera),,27000
Pilliadugu (Mucuna prurita),,12000
Tulasi (Ocimum sanctum),,19000
Tanikaya - Badam (Terminalia bellarica),,25000
Nallakaraka - Badam (Terminalia chebula),,25000
Thella Maddi - Badam (Terminalia arjuna),,28000
Sandiliyamu—Wood Apple (Aegle marmelos),,25000
Sonamukhi — Senna,,16000
Palmarosa (Rusha ghas),,24000-26000
Other Horticulture crops,,30000-31000
